repository,file,ncloc,lines,functions,classes,statements,complexity,cognitive_complexity,duplicated_lines,duplicated_lines_density,duplicated_blocks,comment_lines,comment_lines_density,code_smells,sqale_index,sqale_debt_ratio,violations,blocker_violations,critical_violations,major_violations,minor_violations
NationalSecurityAgency/datawave,core/utils/type-utils/src/main/java/datawave/data/normalizer/AbstractGeometryNormalizer.java,172,240,27,1,78,48,32,,,,20,10.4,7,18,0.3,7,,,2,5
NationalSecurityAgency/datawave,core/utils/type-utils/src/main/java/datawave/data/type/AbstractGeometryType.java,70,99,6,1,31,14,13,,,,5,6.7,1,2,0.1,1,,,1,
NationalSecurityAgency/datawave,web-services/client/src/main/java/datawave/webservice/util/AbstractHtmlProviderMessageBodyWriter.java,55,86,7,1,24,3,,,,,7,11.3,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/index/day/AbstractIndexIngest.java,7,35,2,1,0,0,,,,,15,68.2,,,,,,,,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/table/aggregator/util/AbstractIndexKeyParser.java,108,183,13,1,51,37,23,167,91.3,1,32,22.9,6,23,0.7,6,,,1,4
NationalSecurityAgency/datawave,core/tables/src/main/java/datawave/table/key/parser/AbstractIndexKeyParser.java,107,182,13,1,51,37,23,167,91.8,1,32,23.0,4,8,0.2,4,,,,4
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/data/config/ingest/AbstractIngestHelper.java,119,178,18,1,49,27,13,,,,18,13.1,2,20,0.6,2,2,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/iterator/builder/AbstractIteratorBuilder.java,109,170,26,1,30,29,6,,,,10,8.4,5,27,0.8,5,,,2,2
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/util/AbstractNGramTokenizationStrategy.java,96,216,15,2,39,23,12,,,,54,36.0,8,41,1.4,8,,,7,1
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/jexl/nodes/AbstractNodeCostComparator.java,70,109,6,1,30,17,11,,,,11,13.6,,,,,,,,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/data/normalizer/AbstractNormalizer.java,165,293,16,1,89,29,33,74,25.3,2,83,33.5,,,,,,,,
NationalSecurityAgency/datawave,core/utils/type-utils/src/main/java/datawave/data/normalizer/AbstractNormalizer.java,13,18,2,1,2,2,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/test/java/datawave/ingest/data/normalizer/AbstractNormalizerTest.java,67,79,2,1,39,4,,,,,0,0.0,4,86,4.3,4,,3,,1
NationalSecurityAgency/datawave,web-services/query/src/main/java/datawave/webservice/query/cache/AbstractQueryCache.java,36,94,9,1,8,8,,,,,22,37.9,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/jexl/util/AbstractQueryGenerator.java,166,215,37,2,56,36,2,,,,4,2.4,1,2,,1,,,1,
NationalSecurityAgency/datawave,core/query/src/main/java/datawave/core/query/logic/AbstractQueryLogicTransformer.java,31,43,5,1,9,6,2,,,,0,0.0,1,5,0.5,1,,,1,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/planner/async/AbstractQueryPlannerCallable.java,10,35,2,1,1,1,,,,,9,47.4,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/rules/AbstractQueryRule.java,37,48,7,1,11,10,3,,,,0,0.0,2,4,0.4,2,,,2,
NationalSecurityAgency/datawave,microservices/services/query/service/src/test/java/datawave/microservice/query/AbstractQueryServiceTest.java,465,586,52,3,195,90,23,,,,20,4.1,3,32,0.2,3,,,1,2
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/util/AbstractQueryTest.java,281,563,37,1,126,52,19,,,,139,33.1,1,15,0.2,1,,,,
NationalSecurityAgency/datawave,web-services/common-util/src/main/java/datawave/webservice/query/cache/AbstractRunningQuery.java,48,75,10,1,15,11,3,,,,3,5.9,,,,,,,,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/util/flag/processor/AbstractSliceDistributor.java,82,104,4,1,50,19,24,,,,4,4.7,3,16,0.7,3,,1,,2
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/table/config/AbstractTableConfigHelper.java,140,284,10,1,79,31,34,,,,92,39.7,2,25,0.6,2,,,2,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/test/java/datawave/ingest/table/config/AbstractTableConfigHelperTest.java,604,924,23,2,387,52,39,233,25.2,15,1,0.2,70,827,4.6,70,,45,2,23
NationalSecurityAgency/datawave,warehouse/core/src/main/java/datawave/data/hash/AbstractUIDBuilder.java,108,146,3,1,62,27,52,,,,16,12.9,4,63,1.9,4,,1,1,2
NationalSecurityAgency/datawave,web-services/query/src/main/java/datawave/webservice/query/util/AbstractUUIDLookupCriteria.java,49,94,12,1,13,12,1,,,,12,19.7,2,4,0.3,2,,,2,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/function/AbstractVersionFilter.java,513,805,13,2,311,110,260,,,,185,26.5,20,261,1.7,20,,8,11,1
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/data/tokenize/AccentFilter.java,2253,2292,4,1,928,1311,21,1328,57.9,261,1255,35.8,5,45,0.1,5,,,1,3
NationalSecurityAgency/datawave,microservices/services/accumulo/service/src/test/resources/accumulo-monitor-stats.xml,249,283,,,,,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/annotation/src/main/java/datawave/annotation/data/v1/AccumuloAnnotationSerializer.java,209,376,11,1,96,41,48,,,,90,30.1,1,20,0.3,1,,1,,
NationalSecurityAgency/datawave,core/annotation/src/test/java/datawave/annotation/data/v1/AccumuloAnnotationSerializerTest.java,113,160,3,1,60,10,5,42,26.3,2,13,10.3,,,,,,,,
NationalSecurityAgency/datawave,core/annotation/src/main/java/datawave/annotation/data/v1/AccumuloAnnotationSourceSerializer.java,136,236,7,1,68,27,22,,,,52,27.7,1,5,0.1,1,,,1,
NationalSecurityAgency/datawave,core/annotation/src/test/java/datawave/annotation/data/v1/AccumuloAnnotationSourceSerializerTest.java,122,183,3,1,73,5,2,,,,25,17.0,2,6,0.2,2,,,1,1
NationalSecurityAgency/datawave,core/annotation/src/main/java/datawave/annotation/data/AccumuloAnnotationUtil.java,38,64,1,1,16,7,9,,,,13,25.5,1,5,0.4,1,,,1,
NationalSecurityAgency/datawave,warehouse/core/src/main/java/datawave/util/cli/AccumuloArgs.java,64,127,9,2,12,9,,,,,34,34.7,,,,,,,,
NationalSecurityAgency/datawave,warehouse/core/src/test/java/datawave/util/cli/AccumuloArgsTest.java,59,75,2,2,18,2,,,,,5,7.8,5,45,2.5,5,,4,,1
NationalSecurityAgency/datawave,microservices/services/audit/service/src/main/java/datawave/microservice/audit/auditors/accumulo/config/AccumuloAuditConfig.java,47,65,4,1,5,4,,,,,5,9.6,1,5,0.4,1,,,1,
NationalSecurityAgency/datawave,microservices/services/audit/service/src/test/java/datawave/microservice/audit/auditors/accumulo/AccumuloAuditConfigDisabledTest.java,32,40,1,2,3,1,,16,40.0,1,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/audit/service/src/test/java/datawave/microservice/audit/auditors/accumulo/AccumuloAuditConfigMissingTest.java,32,40,1,2,3,1,,16,40.0,1,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/audit/service/src/main/java/datawave/microservice/audit/auditors/accumulo/AccumuloAuditor.java,65,85,4,1,21,7,5,,,,2,3.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/audit/service/src/test/java/datawave/microservice/audit/auditors/accumulo/AccumuloAuditorTest.java,135,170,7,2,63,10,1,,,,0,0.0,7,52,1.3,7,,3,3,
NationalSecurityAgency/datawave,microservices/services/audit/service/src/main/java/datawave/microservice/audit/auditors/accumulo/config/AccumuloAuditProperties.java,92,129,23,3,23,23,,32,24.8,2,2,2.1,,,,,,,,
NationalSecurityAgency/datawave,web-services/security/src/main/java/datawave/security/cache/AccumuloCacheStore.java,245,282,12,1,114,26,46,,,,12,4.7,7,129,1.8,7,,1,6,
NationalSecurityAgency/datawave,web-services/security/src/main/java/datawave/security/cache/AccumuloCacheStoreConfiguration.java,142,166,16,1,68,53,37,,,,0,0.0,8,63,1.5,8,6,,,2
NationalSecurityAgency/datawave,web-services/security/src/main/java/datawave/security/cache/AccumuloCacheStoreConfigurationBuilder.java,79,99,15,1,27,15,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/starters/datawave/src/main/java/datawave/microservice/config/accumulo/AccumuloClientConfiguration.java,31,41,2,1,2,2,,,,,4,11.4,,,,,,,,
NationalSecurityAgency/datawave,core/utils/accumulo-utils/src/main/java/datawave/webservice/common/connection/AccumuloClientConfiguration.java,65,148,9,1,28,20,16,,,,41,38.7,1,5,0.3,1,,,1,
NationalSecurityAgency/datawave,core/connection-pool/src/main/java/datawave/core/common/connection/AccumuloClientPool.java,98,122,9,1,46,15,7,,,,5,4.9,4,40,1.4,4,,,,4
NationalSecurityAgency/datawave,core/connection-pool/src/main/java/datawave/core/common/connection/AccumuloClientPoolFactory.java,49,70,8,1,13,9,1,,,,4,7.5,,,,,,,,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/util/AccumuloCliOptions.java,53,88,7,1,21,11,3,,,,10,15.9,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/accumulo/service/src/main/java/datawave/microservice/accumulo/config/AccumuloConfiguration.java,48,60,4,3,4,4,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/query-metric/service/src/main/java/datawave/microservice/querymetric/config/AccumuloConfiguration.java,34,41,3,1,6,4,1,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/connection-pool/src/main/java/datawave/core/common/connection/AccumuloConnectionFactory.java,42,131,8,3,6,3,2,,,,46,52.3,3,60,4.8,3,,,3,
NationalSecurityAgency/datawave,web-services/common/src/main/java/datawave/webservice/common/connection/AccumuloConnectionFactoryBean.java,148,230,15,1,29,17,3,,,,37,20.0,2,25,0.6,2,,,2,
NationalSecurityAgency/datawave,microservices/services/mapreduce-query/service/src/main/java/datawave/microservice/query/mapreduce/config/AccumuloConnectionFactoryConfig.java,20,25,2,1,2,2,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,core/connection-pool/src/main/java/datawave/core/common/connection/AccumuloConnectionFactoryImpl.java,295,380,14,1,189,53,85,,,,31,9.5,4,45,0.5,4,,2,1,
NationalSecurityAgency/datawave,core/connection-pool/src/test/java/datawave/core/common/connection/AccumuloConnectionFactoryTest.java,200,237,17,3,97,22,9,,,,1,0.5,10,205,3.4,10,,3,7,
NationalSecurityAgency/datawave,web-services/query/src/main/java/datawave/webservice/query/runner/AccumuloConnectionRequestBean.java,16,30,1,1,1,1,,,,,2,11.1,2,10,2.1,2,,,2,
NationalSecurityAgency/datawave,core/connection-pool/src/main/java/datawave/core/query/runner/AccumuloConnectionRequestMap.java,85,107,4,1,47,20,32,,,,6,6.6,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/dictionary/service/src/main/java/datawave/microservice/AccumuloConnectionService.java,113,222,10,1,42,16,5,,,,59,34.3,2,5,0.1,2,,,1,
NationalSecurityAgency/datawave,warehouse/core/src/main/java/datawave/util/AccumuloCounterSource.java,91,124,9,1,37,12,7,,,,1,1.1,2,30,1.1,2,,,2,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/iterator/AccumuloFieldIndexIterable.java,18,31,3,1,4,3,,,,,0,0.0,2,7,1.3,2,,,2,
NationalSecurityAgency/datawave,microservices/services/audit/service/src/main/java/datawave/microservice/audit/auditors/accumulo/health/AccumuloHealthChecker.java,40,55,2,1,21,5,5,,,,1,2.4,,,,,,,,
NationalSecurityAgency/datawave,warehouse/core/src/main/java/datawave/ingest/data/config/ingest/AccumuloHelper.java,82,115,17,1,26,19,2,,,,2,2.4,3,30,1.2,3,3,,,
NationalSecurityAgency/datawave,warehouse/ops-tools/index-validation/src/main/java/datawave/index/validation/AccumuloIndexAgeDisplay.java,280,431,18,1,157,52,64,,,,59,17.4,11,79,0.9,11,,2,6,3
NationalSecurityAgency/datawave,warehouse/ops-tools/index-validation/src/test/java/datawave/index/validation/AccumuloIndexAgeDisplayTest.java,264,384,20,1,135,24,13,18,4.7,2,31,10.5,11,110,1.4,11,,3,4,4
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/util/cache/AccumuloLoader.java,82,159,8,1,36,17,18,,,,30,26.8,2,10,0.4,2,,,2,
NationalSecurityAgency/datawave,microservices/services/query-metric/service/src/main/java/datawave/microservice/querymetric/persistence/AccumuloMapLoader.java,69,85,7,2,20,10,6,,,,1,1.4,2,10,0.5,2,,,2,
NationalSecurityAgency/datawave,microservices/services/query-metric/service/src/main/java/datawave/microservice/querymetric/persistence/AccumuloMapStore.java,231,286,15,2,107,34,43,,,,24,9.4,6,73,1.1,6,,1,3,2
NationalSecurityAgency/datawave,microservices/services/accumulo/service/src/main/java/datawave/microservice/accumulo/stats/util/AccumuloMonitorLocator.java,43,63,3,1,13,4,2,,,,5,10.4,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/accumulo/service/src/test/java/datawave/microservice/accumulo/stats/util/AccumuloMonitorLocatorTest.java,51,65,4,1,10,5,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,microservices/starters/datawave/src/main/java/datawave/microservice/config/accumulo/AccumuloProperties.java,39,56,8,1,8,8,,32,57.1,2,3,7.1,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/language/builder/lucene/AccumuloQueryTreeBuilder.java,41,48,3,1,17,3,,,,,0,0.0,2,15,1.2,2,,,1,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/metrics/AccumuloRecordWriter.java,291,367,26,1,128,55,54,66,18.0,2,17,5.5,6,75,0.9,6,2,1,3,
NationalSecurityAgency/datawave,microservices/services/query-metric/service/src/main/java/datawave/microservice/querymetric/handler/AccumuloRecordWriter.java,220,274,21,1,96,44,40,66,24.1,2,6,2.7,2,20,0.3,2,2,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/tables/AccumuloResource.java,58,132,9,2,12,9,1,,,,34,37.0,2,25,1.4,2,,,2,
NationalSecurityAgency/datawave,microservices/services/accumulo/service/src/main/java/datawave/microservice/accumulo/AccumuloService.java,12,18,1,1,1,1,,,,,1,7.7,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/testframework/AccumuloSetup.java,190,284,16,1,78,28,17,,,,44,18.8,3,25,0.4,3,,,3,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/language/parser/lucene/AccumuloSyntaxParser.java,840,937,30,3,486,210,321,75,8.0,4,26,3.0,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/language/parser/lucene/AccumuloSyntaxParserConstants.java,76,89,1,1,1,1,,,,,3,3.8,13,26,1.1,13,,13,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/language/parser/lucene/AccumuloSyntaxParserTokenManager.java,1100,1153,33,1,728,409,844,220,19.1,19,1,0.1,99,1484,4.5,99,,5,36,57
NationalSecurityAgency/datawave,core/connection-pool/src/main/java/datawave/core/common/cache/AccumuloTableCache.java,16,31,6,1,0,0,,,,,1,5.9,,,,,,,,
NationalSecurityAgency/datawave,web-services/common/src/main/java/datawave/webservice/common/cache/AccumuloTableCacheBean.java,158,221,13,1,24,13,1,,,,24,13.2,1,5,0.1,1,,1,,
NationalSecurityAgency/datawave,core/connection-pool/src/main/java/datawave/core/common/cache/AccumuloTableCacheImpl.java,209,255,13,1,107,38,43,,,,9,4.1,6,81,1.3,6,,1,3,
NationalSecurityAgency/datawave,core/connection-pool/src/main/java/datawave/core/common/cache/AccumuloTableCacheProperties.java,115,148,27,1,34,27,,,,,2,1.7,,,,,,,,
NationalSecurityAgency/datawave,core/connection-pool/src/main/java/datawave/core/common/result/AccumuloTableCacheStatus.java,65,79,5,1,29,6,1,,,,0,0.0,3,33,1.7,3,,1,1,1
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/iterator/AccumuloTableIterable.java,86,109,7,1,25,13,6,,,,1,1.1,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/iterator/AccumuloTableIterableTest.java,46,62,2,1,15,4,3,,,,1,2.1,2,4,0.3,2,,,,2
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/iterator/AccumuloTreeIterable.java,42,61,4,1,14,7,3,,,,4,8.7,2,15,1.2,2,,,,2
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/mapreduce/job/util/AccumuloUtil.java,123,153,9,1,63,26,24,,,,2,1.6,3,35,0.9,3,,2,1,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/test/java/datawave/ingest/mapreduce/job/util/AccumuloUtilTest.java,86,102,7,1,44,7,,,,,2,2.3,8,64,2.5,8,,2,,6
NationalSecurityAgency/datawave,microservices/starters/query/src/main/java/datawave/microservice/query/messaging/AcknowledgementCallback.java,7,13,1,2,0,0,,,,,1,12.5,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/tracking/ActiveQuery.java,142,166,13,2,68,29,25,,,,0,0.0,16,46,1.1,16,,,1,15
NationalSecurityAgency/datawave,web-services/query/src/main/java/datawave/webservice/query/limit/ActiveQueryException.java,18,28,5,1,5,5,,,,,1,5.3,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/tracking/ActiveQueryLog.java,259,331,20,2,125,56,61,,,,23,8.2,15,62,0.8,16,1,4,,11
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/tracking/ActiveQueryLogTest.java,135,162,9,2,75,16,12,,,,4,2.9,2,10,0.2,5,,,3,2
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/tracking/ActiveQuerySnapshot.java,81,95,4,1,42,11,10,,,,0,0.0,1,20,0.8,1,,,1,
NationalSecurityAgency/datawave,web-services/query/src/main/java/datawave/webservice/query/limit/ActiveQueryTracker.java,307,617,24,1,154,53,49,,,,182,37.2,7,58,0.6,7,,1,4,2
NationalSecurityAgency/datawave,web-services/query/src/test/java/datawave/webservice/query/limit/ActiveQueryTrackerTest.java,190,314,12,1,127,14,1,,,,54,22.1,12,342,6.0,12,,12,,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/jobcache/ActiveSetter.java,30,55,5,1,11,10,5,,,,8,21.1,,,,,,,,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/test/java/datawave/ingest/jobcache/ActiveSetterTest.java,61,84,7,1,21,9,2,,,,0,0.0,2,4,0.2,2,,,,2
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/jexl/visitors/AddShardsAndDaysVisitor.java,86,122,6,1,40,19,14,,,,19,18.1,,,,,,,,
NationalSecurityAgency/datawave,warehouse/query-core/src/test/java/datawave/query/jexl/visitors/AddShardsAndDaysVisitorTest.java,101,151,15,1,46,16,1,,,,11,9.8,5,50,1.7,5,,5,,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/language/tree/AdjNode.java,22,32,3,1,7,4,1,,,,0,0.0,2,50,7.6,2,1,,,1
NationalSecurityAgency/datawave,microservices/services/accumulo/service/src/main/java/datawave/microservice/accumulo/admin/AdminController.java,123,155,15,1,15,15,,,,,12,8.9,,,,,,,,
NationalSecurityAgency/datawave,microservices/services/accumulo/service/src/main/java/datawave/microservice/accumulo/admin/AdminService.java,413,592,15,1,264,47,103,,,,77,15.7,25,435,3.5,25,,3,18,
NationalSecurityAgency/datawave,microservices/services/accumulo/service/src/test/java/datawave/microservice/accumulo/admin/AdminServiceTest.java,257,390,14,1,149,29,3,,,,36,12.3,4,35,0.5,4,,,3,1
NationalSecurityAgency/datawave,warehouse/age-off/src/main/java/datawave/iterators/filter/AgeOffConfigParams.java,15,67,0,1,0,0,,,,,15,50.0,1,5,1.1,1,,,1,
NationalSecurityAgency/datawave,warehouse/age-off-utils/src/main/java/datawave/age/off/util/AgeOffCsvColumnInformation.java,39,49,1,1,16,8,5,,,,4,9.3,,,,,,,,
NationalSecurityAgency/datawave,warehouse/age-off-utils/src/main/java/datawave/age/off/util/AgeOffCsvToMatchPatternFormatter.java,159,217,13,1,85,40,34,,,,11,6.5,4,8,0.2,4,,,,4
NationalSecurityAgency/datawave,warehouse/age-off-utils/src/main/java/datawave/age/off/util/AgeOffCsvToMatchPatternFormatterConfiguration.java,97,125,23,2,33,23,,,,,2,2.0,,,,,,,,
NationalSecurityAgency/datawave,warehouse/age-off-utils/src/test/java/datawave/age/off/util/AgeOffCsvToMatchPatternFormatterTest.java,359,483,30,1,121,39,6,,,,54,13.1,8,25,0.2,8,,1,,7
NationalSecurityAgency/datawave,warehouse/age-off-utils/src/main/java/datawave/age/off/util/AgeOffFileConfiguration.java,40,52,8,2,13,9,1,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,warehouse/age-off-utils/src/main/java/datawave/age/off/util/AgeOffFileGenerator.java,49,80,7,1,23,9,2,,,,7,12.5,,,,,,,,
NationalSecurityAgency/datawave,warehouse/age-off-utils/src/test/java/datawave/age/off/util/AgeOffFileGeneratorTest.java,352,399,17,2,110,19,4,,,,3,0.8,,,,,,,,
NationalSecurityAgency/datawave,warehouse/age-off/src/main/java/datawave/ingest/util/cache/watch/AgeOffFileLoaderDependencyProvider.java,7,11,1,1,0,0,,,,,0,0.0,,,,,,,,
NationalSecurityAgency/datawave,warehouse/age-off/src/main/java/datawave/iterators/filter/AgeOffFilterBase.java,67,84,6,1,32,8,5,,,,3,4.3,1,15,0.7,1,,,,
NationalSecurityAgency/datawave,warehouse/age-off/src/main/java/datawave/iterators/filter/ageoff/AgeOffPeriod.java,67,91,9,1,32,17,9,,,,6,8.2,1,5,0.2,1,,,1,
NationalSecurityAgency/datawave,warehouse/age-off-utils/src/main/java/datawave/age/off/util/AgeOffRuleConfiguration.java,88,112,18,2,31,20,2,,,,0,0.0,1,10,0.4,1,,,,1
NationalSecurityAgency/datawave,warehouse/age-off-utils/src/main/java/datawave/age/off/util/AgeOffRuleFormatter.java,80,122,7,1,35,10,3,,,,11,12.1,1,5,0.2,2,1,,1,
NationalSecurityAgency/datawave,warehouse/age-off-utils/src/test/java/datawave/age/off/util/AgeOffRuleFormatterTest.java,142,198,7,1,66,7,,,,,14,9.0,,,,,,,,
NationalSecurityAgency/datawave,warehouse/age-off/src/main/java/datawave/ingest/util/cache/watch/AgeOffRuleLoader.java,55,76,2,1,28,7,11,,,,1,1.8,,,,,,,,
NationalSecurityAgency/datawave,warehouse/age-off/src/main/java/datawave/iterators/filter/AgeOffTtlUnits.java,8,15,0,1,0,0,,,,,5,38.5,1,5,2.1,1,,,1,
NationalSecurityAgency/datawave,warehouse/query-core/src/main/java/datawave/query/common/grouping/AggregateOperation.java,4,9,0,1,0,0,,,,,1,20.0,,,,,,,,
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/mapreduce/job/writer/AggregatingContextWriter.java,32,52,4,1,8,4,,,,,3,8.6,2,20,2.1,2,,,,2
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/mapreduce/job/metrics/AggregatingMetricsStore.java,57,73,4,2,19,6,6,,,,1,1.7,2,20,1.2,2,,,,2
NationalSecurityAgency/datawave,warehouse/ingest-core/src/main/java/datawave/ingest/input/reader/AggregatingRecordReader.java,233,354,33,2,111,60,54,,,,52,18.2,3,26,0.4,3,,2,,1
NationalSecurityAgency/datawave,warehouse/ingest-core/src/test/resources/datawave/ingest/mapreduce/job/reduce/AggregatingReduce-test-config.xml,25,34,,,,,,,,,0,0.0,,,,,,,,
